timestamp,price,signal
2025-07-28 14:41:10,0.233533,🟢 COMPRA
2025-07-28 14:41:26,0.233533,🟢 COMPRA
2025-07-28 14:41:40,0.233533,🟢 COMPRA
2025-07-28 14:42:10,0.233499,🟢 COMPRA
2025-07-28 14:42:24,0.233499,🟢 COMPRA
2025-07-28 14:42:40,0.233499,🟢 COMPRA
2025-07-28 14:42:55,0.233499,🟢 COMPRA
2025-07-28 14:43:12,0.233499,🟢 COMPRA
2025-07-28 14:43:27,0.233487,🟢 COMPRA
2025-07-28 14:43:43,0.233499,🟢 COMPRA
2025-07-28 14:44:44,0.233523,🟢 COMPRA
2025-07-28 14:45:00,0.233523,🟢 COMPRA
2025-07-28 14:45:14,0.233523,🟢 COMPRA
2025-07-28 14:45:29,0.233523,🟢 COMPRA
2025-07-28 14:45:43,0.233523,🟢 COMPRA
2025-07-28 14:46:13,0.233613,🟢 COMPRA
2025-07-28 14:46:30,0.233613,🟢 COMPRA
2025-07-28 14:47:01,0.233613,🟢 COMPRA
2025-07-28 14:47:15,0.233613,🟢 COMPRA
2025-07-28 14:47:32,0.233536,🟢 COMPRA
2025-07-28 14:48:16,0.233479,🟢 COMPRA
2025-07-28 14:49:16,0.233483,🟢 COMPRA
2025-07-28 14:49:32,0.233483,🟢 COMPRA
2025-07-28 14:49:52,0.233483,🟢 COMPRA
2025-07-28 14:50:07,0.233485,🟢 COMPRA
2025-07-28 14:50:25,0.233485,🟢 COMPRA
2025-07-28 14:51:04,0.233454,🟢 COMPRA
2025-07-28 14:51:18,0.233454,🟢 COMPRA
2025-07-28 14:51:34,0.233454,🟢 COMPRA
2025-07-28 14:52:37,0.233115,🟢 COMPRA
2025-07-28 14:52:54,0.233115,🟢 COMPRA
2025-07-28 14:53:08,0.233085,🟢 COMPRA
2025-07-28 14:53:22,0.233115,🟢 COMPRA
2025-07-28 14:53:54,0.233085,🟢 COMPRA
2025-07-28 14:54:53,0.233052,🟢 COMPRA
2025-07-28 14:55:13,0.233019,🟢 COMPRA
2025-07-28 14:55:34,0.233019,🟢 COMPRA
2025-07-28 14:55:52,0.233019,🟢 COMPRA
2025-07-28 14:56:11,0.233019,🟢 COMPRA
2025-07-28 14:56:27,0.233012,🟢 COMPRA
2025-07-28 14:56:51,0.233012,🟢 COMPRA
2025-07-28 14:57:06,0.233012,🟢 COMPRA
