timestamp,price,signal
2025-07-27 01:19:04,118129,🔴 VENTA
2025-07-27 01:19:20,118119,🔴 VENTA
2025-07-27 01:19:35,118119,🔴 VENTA
2025-07-27 01:19:51,118119,🔴 VENTA
2025-07-27 01:20:06,118119,🔴 VENTA
2025-07-27 01:20:23,118152,🔴 VENTA
2025-07-27 01:20:46,118119,🔴 VENTA
2025-07-27 01:21:23,118152,🔴 VENTA
2025-07-27 01:21:42,118152,🔴 VENTA
2025-07-27 01:22:10,118156,🔴 VENTA
2025-07-27 01:22:25,118159,🔴 VENTA
2025-07-27 01:22:39,118156,🔴 VENTA
2025-07-27 01:22:54,118159,🔴 VENTA
2025-07-27 01:23:23,118159,🔴 VENTA
2025-07-27 01:23:41,118159,🔴 VENTA
2025-07-27 01:23:57,118159,🔴 VENTA
