timestamp,price,signal
2025-07-27 01:19:06,3766.37,🟢 COMPRA
2025-07-27 01:19:21,3766.94,🟢 COMPRA
2025-07-27 01:19:36,3766.94,🟢 COMPRA
2025-07-27 01:19:52,3766.94,🟢 COMPRA
2025-07-27 01:20:08,3767.99,🟢 COMPRA
2025-07-27 01:20:25,3767.99,🟢 COMPRA
2025-07-27 01:20:48,3768.58,🟢 COMPRA
2025-07-27 01:21:08,3768.58,🟢 COMPRA
2025-07-27 01:21:24,3768.58,🟢 COMPRA
2025-07-27 01:21:45,3768.58,🟢 COMPRA
2025-07-27 01:22:11,3768.58,🟢 COMPRA
2025-07-27 01:22:26,3769.95,🟢 COMPRA
2025-07-27 01:22:40,3769.95,🟢 COMPRA
2025-07-27 01:23:09,3769.41,🟢 COMPRA
2025-07-27 01:23:25,3769.41,🟢 COMPRA
2025-07-27 01:23:43,3769.41,🟢 COMPRA
2025-07-27 01:23:58,3769.41,🟢 COMPRA
